id	name	tradition	value	action	bare	of_whom	duplicated_in	suggested_move_to	reason
7484	Xiwangmu	Chinese	ruler of the female immortals	TITLE_MOVE				domain	title not present in any other field
7484	Xiwangmu	Chinese	consort of the Jade Emperor (popular tradition)	STRIP_TO_BARE	consort	the Jade Emperor (popular tradition)			"consort of X" pattern
7480	Centeotl	Aztec	son of Tlazolteotl in some accounts; son of Piltzintecuhtli and Xochiquetzal in others	STRIP_TO_BARE	son	Tlazolteotl in some accounts; son of Piltzintecuhtli and Xochiquetzal in others			"son of X" pattern
7480	Centeotl	Aztec	maize-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7426	Ouranos	Greek	primordial sky-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7426	Ouranos	Greek	parthenogenetic son of Gaia	TITLE_MOVE				domain	title not present in any other field
7426	Ouranos	Greek	mate of Gaia	TITLE_MOVE				domain	title not present in any other field
7426	Ouranos	Greek	father of the Titans, Cyclopes, Hekatonkheires; from his castration the Erinyes, Giants, and Aphrodite emerged	STRIP_TO_BARE	father	the Titans, Cyclopes, Hekatonkheires; from his castration the Erinyes, Giants, and Aphrodite emerged			"father of X" pattern
7436	Tyche	Greek	daughter of Oceanus (Hesiod) or of Zeus (Pindar)	STRIP_TO_BARE	daughter	Oceanus (Hesiod) or of Zeus (Pindar)			"daughter of X" pattern
7436	Tyche	Greek	Hellenistic-age cosmic-fortune-deity	TITLE_MOVE				domain (or identification)	title not present in any other field
7514	Q'uq'umatz	Maya	the Feathered Serpent of the K'iche' Maya	TITLE_MOVE				domain	title not present in any other field
7514	Q'uq'umatz	Maya	a creator-deity of the Popol Vuh	TITLE_MOVE				domain (or identification)	title not present in any other field
7514	Q'uq'umatz	Maya	cognate of Kukulkan and Quetzalcoatl	TITLE_MOVE				domain	title not present in any other field
7386	Agni	Hindu	fire-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7386	Agni	Hindu	one of the eight Vasus	TITLE_MOVE				domain	title not present in any other field
7386	Agni	Hindu	grandson of the waters	TITLE_MOVE				domain	title not present in any other field
7386	Agni	Hindu	priest of the gods	TITLE_MOVE				character_trait	title not present in any other field
6681	Set	Egyptian	son	KEEP					bare kinship term
6681	Set	Egyptian	husband	KEEP					bare kinship term
6679	Goumang	Chinese	spouse	KEEP					bare kinship term
6132	Durga	Hindu	supreme goddess	TITLE_MOVE				domain	title not present in any other field
6132	Durga	Hindu	consort of Śiva	STRIP_TO_BARE	consort	Śiva			"consort of X" pattern
6132	Durga	Hindu	mother of Gaṇeśa and Skanda	STRIP_TO_BARE	mother	Gaṇeśa and Skanda			"mother of X" pattern
7375	Ganesha	Hindu	son of Śiva and Pārvatī	STRIP_TO_BARE	son	Śiva and Pārvatī			"son of X" pattern
7375	Ganesha	Hindu	brother of Skanda/Kārtikeya	STRIP_TO_BARE	brother	Skanda/Kārtikeya			"brother of X" pattern
7375	Ganesha	Hindu	lord of the gaṇas	TITLE_MOVE				domain (or identification)	title not present in any other field
7375	Ganesha	Hindu	first-worshipped at every Hindu rite	TITLE_MOVE				domain	title not present in any other field
7382	Hanuman	Hindu	son of Añjanā and Vāyu	STRIP_TO_BARE	son	Añjanā and Vāyu			"son of X" pattern
7382	Hanuman	Hindu	vānara general	TITLE_MOVE				domain	title not present in any other field
7382	Hanuman	Hindu	supreme devotee of Rāma	TITLE_MOVE				domain	title not present in any other field
7382	Hanuman	Hindu	Cirañjīvī	TITLE_MOVE				domain	title not present in any other field
7370	Vishnu	Hindu	supreme being	TITLE_DUP			domain		full string already in domain
7370	Vishnu	Hindu	husband of Lakṣmī	STRIP_TO_BARE	husband	Lakṣmī			"husband of X" pattern
7370	Vishnu	Hindu	father of countless avatars	STRIP_TO_BARE	father	countless avatars			"father of X" pattern
7370	Vishnu	Hindu	Trimūrti member	TITLE_MOVE				domain	title not present in any other field
6438	Azure Dragon	Chinese	spouse	KEEP					bare kinship term
6541	Daode Tianzun	Chinese	third of the Three Pure Ones	TITLE_MOVE				domain	title not present in any other field
6541	Daode Tianzun	Chinese	identified with the deified Laozi (Taishang Laojun)	TITLE_MOVE				domain	title not present in any other field
6541	Daode Tianzun	Chinese	dwells in the Grand Pure heaven (Taiqing)	TITLE_MOVE				domain	title not present in any other field
7166	Ishtadevata	Hindu	chosen personal deity	TITLE_DUP			domain		"personal deity" already in domain
7377	Krishna	Hindu	eighth avatar of Viṣṇu	TITLE_MOVE				domain	title not present in any other field
7377	Krishna	Hindu	son of Devakī and Vasudeva	STRIP_TO_BARE	son	Devakī and Vasudeva			"son of X" pattern
7377	Krishna	Hindu	foster-son of Yaśodā and Nanda	TITLE_MOVE				domain	title not present in any other field
7377	Krishna	Hindu	brother of Balarāma	STRIP_TO_BARE	brother	Balarāma			"brother of X" pattern
7377	Krishna	Hindu	beloved of Rādhā	TITLE_MOVE				domain	title not present in any other field
7377	Krishna	Hindu	husband of Rukmiṇī	STRIP_TO_BARE	husband	Rukmiṇī			"husband of X" pattern
7395	Kurma	Hindu	second avatar of Viṣṇu	TITLE_MOVE				domain	title not present in any other field
7395	Kurma	Hindu	cosmic-foundation-supporter	TITLE_MOVE				domain	title not present in any other field
7380	Sita	Hindu	wife of Rāma	STRIP_TO_BARE	wife	Rāma			"wife of X" pattern
7380	Sita	Hindu	daughter of Earth-mother/King Janaka	STRIP_TO_BARE	daughter	Earth-mother/King Janaka			"daughter of X" pattern
7380	Sita	Hindu	mother of Lava and Kuśa	STRIP_TO_BARE	mother	Lava and Kuśa			"mother of X" pattern
7380	Sita	Hindu	avatar of Lakṣmī	TITLE_MOVE				domain	title not present in any other field
7170	Surya Majapahit	Hindu	solar emblem of Majapahit royalty	TITLE_DUP			domain		"royalty" already in domain
7485	Huangdi	Chinese	the Yellow Emperor	TITLE_MOVE				domain	title not present in any other field
7485	Huangdi	Chinese	first of the Five Emperors	TITLE_MOVE				domain	title not present in any other field
7485	Huangdi	Chinese	legendary ancestor of the Han Chinese	TITLE_MOVE				domain	title not present in any other field
7485	Huangdi	Chinese	husband of Leizu (inventor of silk)	STRIP_TO_BARE	husband	Leizu (inventor of silk)			"husband of X" pattern
7391	Ushas	Hindu	dawn-goddess	TITLE_MOVE				domain (or identification)	title not present in any other field
7391	Ushas	Hindu	daughter of Dyaus	STRIP_TO_BARE	daughter	Dyaus			"daughter of X" pattern
7391	Ushas	Hindu	sister/companion of Aśvin-twins	TITLE_MOVE				domain	title not present in any other field
7307	Ninurta	Mesopotamian	son	KEEP					bare kinship term
7307	Ninurta	Mesopotamian	warrior	TITLE_DUP			domain		full string already in domain
7439	Echidna	Greek	daughter of Phorcys and Ceto (Hesiod) or Tartarus and Gaia (alternative)	STRIP_TO_BARE	daughter	Phorcys and Ceto (Hesiod) or Tartarus and Gaia (alternative)			"daughter of X" pattern
7439	Echidna	Greek	mate of Typhon	TITLE_DUP			domain		full string already in domain
7439	Echidna	Greek	mother of most Greek monsters	STRIP_TO_BARE	mother	most Greek monsters			"mother of X" pattern
6797	Myiagros	Greek	spouse	KEEP					bare kinship term
6880	Lýtir	Norse	spouse	KEEP					bare kinship term
6446	Lycurgus	Greek	spouse	KEEP					bare kinship term
7442	Chimera	Greek	daughter of Typhon and Echidna	STRIP_TO_BARE	daughter	Typhon and Echidna			"daughter of X" pattern
7442	Chimera	Greek	sibling of Hydra, Cerberus, Orthus, Nemean lion	STRIP_TO_BARE	sibling	Hydra, Cerberus, Orthus, Nemean lion			"sibling of X" pattern
7442	Chimera	Greek	slain by Bellerophon	TITLE_MOVE				domain	title not present in any other field
7513	Kukulkan	Maya	the Feathered Serpent of the Yucatec Maya	TITLE_MOVE				domain	title not present in any other field
7513	Kukulkan	Maya	cognate of the Aztec Quetzalcoatl and the K'iche' Q'uq'umatz	TITLE_MOVE				domain	title not present in any other field
7311	Asalluhi	Mesopotamian	son	KEEP					bare kinship term
7300	Damkina	Mesopotamian	wife	KEEP					bare kinship term
7443	Minotaur	Greek	son of Pasiphae (queen of Crete) and the Cretan Bull	STRIP_TO_BARE	son	Pasiphae (queen of Crete) and the Cretan Bull			"son of X" pattern
7443	Minotaur	Greek	step-son of King Minos	TITLE_MOVE				character_trait	title not present in any other field
7443	Minotaur	Greek	slain by Theseus	TITLE_MOVE				domain	title not present in any other field
7322	Shahar	Canaanite	son	KEEP					bare kinship term
7322	Shahar	Canaanite	twin	KEEP					bare kinship term
7299	Enki	Mesopotamian	son	KEEP					bare kinship term
7299	Enki	Mesopotamian	husband	KEEP					bare kinship term
6135	Mei Bo	Chinese	spouse	KEEP					bare kinship term
7318	Enkidu	Mesopotamian	companion	TITLE_MOVE				domain	title not present in any other field
6137	Aruru	Mesopotamian	creator	TITLE_MOVE				domain	title not present in any other field
7301	Ninhursag	Mesopotamian	spouse	KEEP					bare kinship term
7105	Annar	Norse	husband of Nótt	STRIP_TO_BARE	husband	Nótt			"husband of X" pattern
7105	Annar	Norse	father of Jǫrð	STRIP_TO_BARE	father	Jǫrð			"father of X" pattern
7186	Manannán mac Lir	Celtic	son	KEEP					bare kinship term
7119	Bound monster	Norse	supernatural being (category)	TITLE_MOVE				domain	title not present in any other field
7119	Bound monster	Norse	folkloric type	TITLE_MOVE				domain	title not present in any other field
7093	Freyja	Norse	daughter	KEEP					bare kinship term
7093	Freyja	Norse	wife	KEEP					bare kinship term
7099	Forseti	Norse	son	KEEP					bare kinship term
7099	Forseti	Norse	god of justice	TITLE_DUP			domain		"justice" already in domain
7094	Freyr	Norse	son	KEEP					bare kinship term
7094	Freyr	Norse	husband	KEEP					bare kinship term
7094	Freyr	Norse	god of fertility and prosperity	TITLE_DUP			domain		"prosperity" already in domain
7255	Batara Kala	Balinese	son	KEEP					bare kinship term
6322	Jade Emperor	Chinese	supreme ruler of Heaven	TITLE_DUP			domain		"heaven" already in domain
6322	Jade Emperor	Chinese	head of the celestial bureaucracy	TITLE_MOVE				domain	title not present in any other field
6322	Jade Emperor	Chinese	formally subordinate to the Three Pure Ones	TITLE_MOVE				domain	title not present in any other field
6322	Jade Emperor	Chinese	husband of the Queen Mother of the West in popular tradition	STRIP_TO_BARE	husband	the Queen Mother of the West in popular tradition			"husband of X" pattern
7231	Men	Phrygian	Anatolian/Phrygian moon-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7231	Men	Phrygian	governor of the months	TITLE_MOVE				domain	title not present in any other field
6324	Wufang Guidi	Chinese	spouse	KEEP					bare kinship term
7394	Matsya	Hindu	first avatar of Viṣṇu	TITLE_MOVE				domain	title not present in any other field
7394	Matsya	Hindu	protector of Manu	TITLE_MOVE				domain	title not present in any other field
7394	Matsya	Hindu	preserver of the Vedas	TITLE_MOVE				domain	title not present in any other field
7269	Vesta	Roman	identified with Hestia	TITLE_MOVE				domain	title not present in any other field
7269	Vesta	Roman	first-born of Saturn and Ops; first-swallowed	TITLE_MOVE				domain	title not present in any other field
7269	Vesta	Roman	virgin goddess (her vow guarded by the Vestal Virgins on earth)	TITLE_MOVE				domain	title not present in any other field
7269	Vesta	Roman	indigenous Roman as Latin Vesta predating the Hestia-interpretatio	TITLE_MOVE				domain	title not present in any other field
7363	Surt	Norse	fire-giant	TITLE_MOVE				domain	title not present in any other field
7363	Surt	Norse	eschatological adversary	TITLE_MOVE				domain	title not present in any other field
6749	Norns	Norse	fate-spinners	TITLE_MOVE				domain	title not present in any other field
6749	Norns	Norse	collective	TITLE_MOVE				domain	title not present in any other field
7360	Ymir	Norse	primordial ancestor of giants	TITLE_DUP			domain		"giants" already in domain
7360	Ymir	Norse	sacrificial cosmos-body	TITLE_MOVE				domain	title not present in any other field
7491	Mazu	Chinese	goddess of the sea	TITLE_MOVE				domain	title not present in any other field
7491	Mazu	Chinese	deified from the historical/legendary Lin Moniang	TITLE_MOVE				domain	title not present in any other field
7491	Mazu	Chinese	commander of Qianliyan and Shunfeng'er	TITLE_MOVE				domain	title not present in any other field
7491	Mazu	Chinese	titled Tianhou, Empress of Heaven	TITLE_MOVE				domain	title not present in any other field
6241	Khonsu	Egyptian	son of Amun and Mut	STRIP_TO_BARE	son	Amun and Mut			"son of X" pattern
6241	Khonsu	Egyptian	Theban triad member	TITLE_MOVE				domain	title not present in any other field
6241	Khonsu	Egyptian	moon-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7451	Bacchus	Roman	identified with Dionysus and Liber	TITLE_MOVE				domain	title not present in any other field
7451	Bacchus	Roman	son of Jupiter and Semele	STRIP_TO_BARE	son	Jupiter and Semele			"son of X" pattern
7451	Bacchus	Roman	twice-born	TITLE_MOVE				domain	title not present in any other field
7451	Bacchus	Roman	husband of Ariadne	STRIP_TO_BARE	husband	Ariadne			"husband of X" pattern
6716	Guan Yu	Chinese	spouse	KEEP					bare kinship term
6783	Asherah	Canaanite	wife	KEEP					bare kinship term
6783	Asherah	Canaanite	creatress	TITLE_MOVE				domain	title not present in any other field
6783	Asherah	Canaanite	queen	TITLE_DUP			character_trait		full string already in character_trait
6090	Hathor	Egyptian	daughter of Ra (in some genealogies)	STRIP_TO_BARE	daughter	Ra (in some genealogies)			"daughter of X" pattern
6090	Hathor	Egyptian	consort of Horus (especially at Edfu)	STRIP_TO_BARE	consort	Horus (especially at Edfu)			"consort of X" pattern
6090	Hathor	Egyptian	mother of Ihy (the sistrum-rattler)	STRIP_TO_BARE	mother	Ihy (the sistrum-rattler)			"mother of X" pattern
6090	Hathor	Egyptian	Eye of Ra	TITLE_MOVE				domain	title not present in any other field
6752	Tuisto	Germanic	the earth-born primordial god of the Germanic peoples	TITLE_MOVE				domain	title not present in any other field
6752	Tuisto	Germanic	father of Mannus	STRIP_TO_BARE	father	Mannus			"father of X" pattern
7219	Avalokiteshvara	Buddhist	bodhisattva of compassion	TITLE_DUP			domain		"compassion" already in domain
7219	Avalokiteshvara	Buddhist	spiritual son of the Buddha Amitābha	TITLE_MOVE				identification	title not present in any other field
7219	Avalokiteshvara	Buddhist	East Asian form: Guanyin/Kannon	TITLE_MOVE				domain	title not present in any other field
7455	Faunus	Roman	indigenous Italic god	TITLE_MOVE				domain	title not present in any other field
7455	Faunus	Roman	identified with Pan	TITLE_MOVE				domain	title not present in any other field
7455	Faunus	Roman	grandfather of Latinus (Virgil)	TITLE_MOVE				domain	title not present in any other field
7455	Faunus	Roman	sometimes called son of Picus (the woodpecker-deity)	TITLE_MOVE				domain (or identification)	title not present in any other field
6119	Ra	Egyptian	spouse	KEEP					bare kinship term
6856	Phra Kalachai Si	Hindu	time-deity in Thai Hindu syncretism	TITLE_MOVE				domain (or identification)	title not present in any other field
7169	Kuladevata	Hindu	family/lineage deity	TITLE_DUP			domain		"deity" already in domain
7450	Saturn	Roman	identified with Cronus	TITLE_MOVE				domain	title not present in any other field
7450	Saturn	Roman	husband-brother of Ops	TITLE_MOVE				domain	title not present in any other field
7450	Saturn	Roman	father of Jupiter, Juno, Neptune, Pluto, Ceres, Vesta	STRIP_TO_BARE	father	Jupiter, Juno, Neptune, Pluto, Ceres, Vesta			"father of X" pattern
7450	Saturn	Roman	Italic ruler of Latium during the Golden Age (uniquely Roman tradition)	TITLE_MOVE				domain	title not present in any other field
6528	Victoria	Roman	spouse	KEEP					bare kinship term
7441	Cerberus	Greek	son of Typhon and Echidna	STRIP_TO_BARE	son	Typhon and Echidna			"son of X" pattern
7441	Cerberus	Greek	sibling of Hydra, Chimera, Orthus, Nemean lion	STRIP_TO_BARE	sibling	Hydra, Chimera, Orthus, Nemean lion			"sibling of X" pattern
7441	Cerberus	Greek	guardian of Hades	TITLE_MOVE				domain	title not present in any other field
7456	Silvanus	Roman	indigenous Italic god	TITLE_MOVE				domain	title not present in any other field
7456	Silvanus	Roman	not in the state-cult	TITLE_DUP			character_trait		"state-cult" already in character_trait
7456	Silvanus	Roman	popular among common people	TITLE_DUP			character_trait		"people" already in character_trait
7378	Radha	Hindu	eternal beloved of Kṛṣṇa	TITLE_MOVE				domain	title not present in any other field
7378	Radha	Hindu	chief gopī	TITLE_MOVE				domain	title not present in any other field
7378	Radha	Hindu	wife of the cowherd Āyana	STRIP_TO_BARE	wife	the cowherd Āyana			"wife of X" pattern
7448	Neptune	Roman	identified with Poseidon	TITLE_MOVE				domain	title not present in any other field
7448	Neptune	Roman	son of Saturn and Ops	STRIP_TO_BARE	son	Saturn and Ops			"son of X" pattern
7448	Neptune	Roman	brother of Jupiter, Pluto, Juno, Ceres, Vesta	STRIP_TO_BARE	brother	Jupiter, Pluto, Juno, Ceres, Vesta			"brother of X" pattern
7413	Jimmu	Shinto	son of Ugayafukiaezu and Tamayori-hime	STRIP_TO_BARE	son	Ugayafukiaezu and Tamayori-hime			"son of X" pattern
7413	Jimmu	Shinto	great-grandson of Ninigi	TITLE_MOVE				domain	title not present in any other field
7413	Jimmu	Shinto	legendary first emperor	TITLE_DUP			character_trait		"emperor" already in character_trait
7413	Jimmu	Shinto	founder of the Yamato imperial dynasty	TITLE_MOVE				domain	title not present in any other field
6246	Hera	Greek	queen of the gods	TITLE_MOVE				character_trait	title not present in any other field
6246	Hera	Greek	youngest daughter of Cronus and Rhea	TITLE_MOVE				domain	title not present in any other field
6246	Hera	Greek	wife of Zeus (and his sister)	STRIP_TO_BARE	wife	Zeus (and his sister)			"wife of X" pattern
6246	Hera	Greek	mother of Ares, Hebe, Eileithyia, Hephaestus	STRIP_TO_BARE	mother	Ares, Hebe, Eileithyia, Hephaestus			"mother of X" pattern
7268	Amun	Egyptian	Hermopolitan Ogdoad pair-member (with Amunet)	TITLE_MOVE				domain	title not present in any other field
7268	Amun	Egyptian	Theban triad father (with Mut and Khonsu)	TITLE_MOVE				domain	title not present in any other field
7268	Amun	Egyptian	supreme imperial god of New Kingdom Egypt	TITLE_MOVE				character_trait	title not present in any other field
6148	Visvedevas	Hindu	all-gods collective	TITLE_DUP			domain		"collective" already in domain
7505	Ksitigarbha	Buddhist	bodhisattva of the hell-beings and of vows	TITLE_DUP			domain		"vows" already in domain
7505	Ksitigarbha	Buddhist	East Asian forms: Dizang (Chinese), Jizō (Japanese)	TITLE_MOVE				domain	title not present in any other field
7226	Barbelo	Gnostic	the first emanation of the Monad	TITLE_MOVE				identification	title not present in any other field
7226	Barbelo	Gnostic	the supreme feminine principle of Sethian Gnosticism	TITLE_MOVE				domain	title not present in any other field
7226	Barbelo	Gnostic	the source of the further aeons (including, ultimately, Sophia)	TITLE_MOVE				domain	title not present in any other field
7507	Bhaisajyaguru	Buddhist	the Medicine Buddha	TITLE_MOVE				identification	title not present in any other field
7507	Bhaisajyaguru	Buddhist	presiding Buddha of the eastern pure land	TITLE_MOVE				identification	title not present in any other field
7253	Mot	Canaanite	son	KEEP					bare kinship term
7253	Mot	Canaanite	adversary	TITLE_MOVE				domain	title not present in any other field
7253	Mot	Canaanite	king of the dead	TITLE_DUP			character_trait		"the dead" already in character_trait
6154	Heracles	Greek	son of Zeus and Alcmene	STRIP_TO_BARE	son	Zeus and Alcmene			"son of X" pattern
6154	Heracles	Greek	step-son of Amphitryon	TITLE_MOVE				domain	title not present in any other field
6154	Heracles	Greek	married three times (Megara, Deianeira, Hebe)	TITLE_MOVE				domain	title not present in any other field
6154	Heracles	Greek	greatest of Greek heroes	TITLE_MOVE				character_trait	title not present in any other field
6154	Heracles	Greek	deified at death — ascended to Olympus	TITLE_MOVE				domain	title not present in any other field
7347	Mastema	Abrahamic	prince of evil spirits	TITLE_DUP			domain		"evil spirits" already in domain
7525	Camazotz	Maya	the Death Bat of Xibalba	TITLE_DUP			domain		"xibalba" already in domain
7525	Camazotz	Maya	the danger of the House of Bats	TITLE_DUP			domain		"bats" already in domain
6157	Venus	Roman	identified with Aphrodite	TITLE_MOVE				domain	title not present in any other field
6157	Venus	Roman	mother of Cupid	STRIP_TO_BARE	mother	Cupid			"mother of X" pattern
6157	Venus	Roman	mother of Aeneas (by Anchises)	STRIP_TO_BARE	mother	Aeneas (by Anchises)			"mother of X" pattern
6157	Venus	Roman	divine ancestress of the Julian gens (Caesar, Augustus)	TITLE_MOVE				domain	title not present in any other field
6254	Satan	Abrahamic	adversary	TITLE_MOVE				domain	title not present in any other field
6254	Satan	Abrahamic	accuser	TITLE_MOVE				domain	title not present in any other field
6254	Satan	Abrahamic	prince of demons (in NT terminology)	TITLE_MOVE				character_trait	title not present in any other field
6254	Satan	Abrahamic	fallen angel (in Christian theology)	TITLE_MOVE				identification	title not present in any other field
6633	Old Man of the South Pole	Chinese	spouse	KEEP					bare kinship term
7212	Acintya	Balinese	the supreme formless god of Balinese Hinduism	TITLE_MOVE				domain	title not present in any other field
7212	Acintya	Balinese	the source from whom all other gods emanate	TITLE_MOVE				domain	title not present in any other field
7196	Baal	Canaanite	son	KEEP					bare kinship term
7196	Baal	Canaanite	spouse	KEEP					bare kinship term
7176	Village deities of South India	Hindu	village-goddess collective	TITLE_MOVE				domain (or identification)	title not present in any other field
6159	Maori Xingguan	Chinese	spouse	KEEP					bare kinship term
7218	Mara	Buddhist	the adversary of awakening	TITLE_MOVE				domain	title not present in any other field
7218	Mara	Buddhist	father of Taṇhā, Arati, and Rāga	STRIP_TO_BARE	father	Taṇhā, Arati, and Rāga			"father of X" pattern
7392	Narasimha	Hindu	fourth avatar of Viṣṇu	TITLE_MOVE				domain	title not present in any other field
7438	Typhon	Greek	son of Gaia and Tartarus	STRIP_TO_BARE	son	Gaia and Tartarus			"son of X" pattern
7438	Typhon	Greek	mate of Echidna	TITLE_MOVE				domain	title not present in any other field
7438	Typhon	Greek	father (with Echidna) of Cerberus, Hydra, Chimera, Sphinx, Nemean lion	TITLE_MOVE				domain	title not present in any other field
7195	El	Canaanite	king	TITLE_DUP			domain		full string already in domain
7195	El	Canaanite	patriarch	TITLE_MOVE				domain	title not present in any other field
7195	El	Canaanite	spouse	KEEP					bare kinship term
7494	Lu Dongbin	Chinese	de facto leader of the Eight Immortals	TITLE_MOVE				domain	title not present in any other field
7494	Lu Dongbin	Chinese	disciple of Zhongli Quan	TITLE_MOVE				domain	title not present in any other field
7494	Lu Dongbin	Chinese	patriarch of the Quanzhen Daoist school	TITLE_MOVE				domain	title not present in any other field
6240	Mut	Egyptian	consort of Amun	STRIP_TO_BARE	consort	Amun			"consort of X" pattern
6240	Mut	Egyptian	mother of Khonsu	STRIP_TO_BARE	mother	Khonsu			"mother of X" pattern
6240	Mut	Egyptian	Theban triad member	TITLE_MOVE				domain	title not present in any other field
7188	Macha	Celtic	daughter	KEEP					bare kinship term
6160	Uriel	Abrahamic	archangel	TITLE_MOVE				domain	title not present in any other field
6421	Šanta	Greek	spouse	KEEP					bare kinship term
6302	Sekhmet	Egyptian	Eye of Ra	TITLE_MOVE				domain	title not present in any other field
6302	Sekhmet	Egyptian	consort of Ptah	STRIP_TO_BARE	consort	Ptah			"consort of X" pattern
6302	Sekhmet	Egyptian	mother of Nefertem	STRIP_TO_BARE	mother	Nefertem			"mother of X" pattern
6302	Sekhmet	Egyptian	Memphite triad member	TITLE_MOVE				domain	title not present in any other field
6302	Sekhmet	Egyptian	plague-and-healing patron	TITLE_MOVE				domain	title not present in any other field
6161	Persephone (Kore)	Greek	daughter of Demeter and Zeus	STRIP_TO_BARE	daughter	Demeter and Zeus			"daughter of X" pattern
6161	Persephone (Kore)	Greek	wife of Hades	STRIP_TO_BARE	wife	Hades			"wife of X" pattern
6161	Persephone (Kore)	Greek	Queen of the Underworld for half the year	TITLE_MOVE				character_trait	title not present in any other field
6161	Persephone (Kore)	Greek	Kore (Maiden) for the other half	TITLE_MOVE				domain	title not present in any other field
6654	Atum	Egyptian	spouse	KEEP					bare kinship term
7460	Aesculapius	Roman	identified with Asclepius	TITLE_MOVE				domain	title not present in any other field
7460	Aesculapius	Roman	son of Apollo	STRIP_TO_BARE	son	Apollo			"son of X" pattern
7460	Aesculapius	Roman	father of Hygieia, Panacea, Iaso	STRIP_TO_BARE	father	Hygieia, Panacea, Iaso			"father of X" pattern
7228	Norea	Gnostic	daughter of Adam and Eve	STRIP_TO_BARE	daughter	Adam and Eve			"daughter of X" pattern
7228	Norea	Gnostic	sister or wife of Seth	TITLE_MOVE				domain	title not present in any other field
7228	Norea	Gnostic	a redeemed and revelation-bearing figure of the Sethian texts	TITLE_MOVE				domain	title not present in any other field
7526	Yum Kaax	Maya	Yucatec Maya god of the forest and of maize	TITLE_DUP			domain		"maize" already in domain
7526	Yum Kaax	Maya	the youthful Maize God	TITLE_MOVE				domain	title not present in any other field
7526	Yum Kaax	Maya	related to Hun Hunahpu the resurrected Maize God	TITLE_MOVE				domain	title not present in any other field
7308	Adad	Mesopotamian	son	KEEP					bare kinship term
7308	Adad	Mesopotamian	warrior	TITLE_MOVE				character_trait	title not present in any other field
7308	Adad	Mesopotamian	storm-god	TITLE_MOVE				domain (or identification)	title not present in any other field
7479	Itzpapalotl	Aztec	ruler of the Tzitzimimeh	TITLE_DUP			character_trait		"tzitzimimeh" already in character_trait
7479	Itzpapalotl	Aztec	patroness of women who died in childbirth	TITLE_MOVE				domain	title not present in any other field
7159	Adityas	Hindu	sons of Aditi	TITLE_MOVE				domain	title not present in any other field
7159	Adityas	Hindu	solar collective	TITLE_MOVE				domain	title not present in any other field
7180	The Dagda	Celtic	spouse	KEEP					bare kinship term
6689	Cybele	Phrygian	the Phrygian Great Mother	TITLE_DUP			domain		"mother" already in domain
6689	Cybele	Phrygian	the Mother of the Gods	STRIP_TO_BARE	mother	the Gods			"mother of X" pattern
6689	Cybele	Phrygian	bound in myth to Attis	TITLE_MOVE				domain	title not present in any other field
6689	Cybele	Phrygian	identified by the Greeks with Rhea, and at Rome as Magna Mater	TITLE_MOVE				domain	title not present in any other field
6144	Pothos	Greek	spouse	KEEP					bare kinship term
6835	Hok Tek Cheng Sin	Chinese	spouse	KEEP					bare kinship term
6841	Baimei Shen	Chinese	spouse	KEEP					bare kinship term
6740	Tara	Buddhist	bodhisattva-goddess of compassion and swift help	TITLE_DUP			domain		"help" already in domain
6740	Tara	Buddhist	born from the tears of Avalokiteśvara	TITLE_MOVE				domain	title not present in any other field
7304	Utu	Mesopotamian	son	KEEP					bare kinship term
7416	Bishamonten	Shinto	one of the Seven Lucky Gods	TITLE_MOVE				domain	title not present in any other field
7416	Bishamonten	Shinto	one of the Four Heavenly Kings of Buddhism	TITLE_MOVE				character_trait	title not present in any other field
7416	Bishamonten	Shinto	Japanese form of Vaiśravaṇa/Kubera	TITLE_MOVE				domain	title not present in any other field
6171	Peirous	Greek	spouse	KEEP					bare kinship term
6094	Ceto	Greek	spouse	KEEP					bare kinship term
6175	Zeus	Greek	father of gods and men	STRIP_TO_BARE	father	gods and men			"father of X" pattern
6175	Zeus	Greek	youngest son of Cronus and Rhea	TITLE_MOVE				domain	title not present in any other field
6175	Zeus	Greek	husband of Hera	STRIP_TO_BARE	husband	Hera			"husband of X" pattern
6175	Zeus	Greek	one of the three brothers (Zeus-Poseidon-Hades) who divided the cosmos	TITLE_MOVE				domain	title not present in any other field
6175	Zeus	Greek	father of countless Olympians and heroes	STRIP_TO_BARE	father	countless Olympians and heroes			"father of X" pattern
7396	Ravana	Hindu	son of Viśravas and Kaikasī	STRIP_TO_BARE	son	Viśravas and Kaikasī			"son of X" pattern
7396	Ravana	Hindu	grandson of Pulastya	TITLE_MOVE				domain	title not present in any other field
7396	Ravana	Hindu	king of Laṅkā	TITLE_MOVE				character_trait	title not present in any other field
7396	Ravana	Hindu	half-brother of Kubera	TITLE_MOVE				domain	title not present in any other field
7396	Ravana	Hindu	brother of Vibhīṣaṇa, Kumbhakarṇa, Śūrpaṇakhā	STRIP_TO_BARE	brother	Vibhīṣaṇa, Kumbhakarṇa, Śūrpaṇakhā			"brother of X" pattern
7396	Ravana	Hindu	husband of Mandodarī	STRIP_TO_BARE	husband	Mandodarī			"husband of X" pattern
